table_name,column_name,Column3,Column4,Column5
vw_PlanHistory,CreationTime_JalaliDate,NOT NEEDED FOR AI,,
vw_PlanHistory,CreationTime_JalaliYear,NOT NEEDED FOR AI,,
vw_PlanHistory,CreationTime_JalaliMonth,NOT NEEDED FOR AI,,
vw_PlanHistory,CreationTime_JalaliDay,NOT NEEDED FOR AI,,
vw_PlanHistory,PlanStartDate_JalaliDate,NOT NEEDED FOR AI,,
vw_PlanHistory,PlanStartDate_JalaliYear,NOT NEEDED FOR AI,,
vw_PlanHistory,PlanStartDate_JalaliMonth,NOT NEEDED FOR AI,,
vw_PlanHistory,PlanStartDate_JalaliDay,NOT NEEDED FOR AI,,
vw_PlanHistory,PlanEndDate_JalaliDate,NOT NEEDED FOR AI,,
vw_PlanHistory,PlanEndDate_JalaliYear,NOT NEEDED FOR AI,,
vw_PlanHistory,PlanEndDate_JalaliMonth,NOT NEEDED FOR AI,,
vw_PlanHistory,PlanEndDate_JalaliDay,NOT NEEDED FOR AI,,
vw_ProjectGroupScurve,JFromDate,NOT NEEDED FOR AI,,
vw_ProjectGroupScurve,JToDate,NOT NEEDED FOR AI,,
vw_ProjectMonthlyReport,CreationTime_JalaliDate,NOT NEEDED FOR AI,,
vw_ProjectMonthlyReport,CreationTime_JalaliYear,NOT NEEDED FOR AI,,
vw_ProjectMonthlyReport,CreationTime_JalaliMonth,NOT NEEDED FOR AI,,
vw_ProjectMonthlyReport,CreationTime_JalaliDay,NOT NEEDED FOR AI,,
vw_Project,PMUserName,NOT NEEDED FOR AI,,
vw_Project,CreatedBy,NOT NEEDED FOR AI,,
vw_Project,LastModifiedBy,NOT NEEDED FOR AI,,
vw_Project,CreationTime,NOT NEEDED FOR AI,,
vw_Project,CreationTime_J,NOT NEEDED FOR AI,,
vw_Project,LastModificationTime,NOT NEEDED FOR AI,,
vw_Project,LastModificationTime_J,NOT NEEDED FOR AI,,
vw_Project,DefaultLocation_CityID,NOT NEEDED FOR AI,,
vw_Project,DefaultLocationID,NOT NEEDED FOR AI,,
vw_Project,پیشرفت برنامه ای در ابتدای سال جاری,NOT NEEDED FOR AI,,
vw_Project,پیشرفت برنامه ای در انتهای سال جاری,NOT NEEDED FOR AI,,
vw_Project,پیشرفت واقعی در ابتدای سال جاری,NOT NEEDED FOR AI,,
vw_Project,پیشرفت واقعی در انتهای سال جاری,NOT NEEDED FOR AI,,
vw_Project,راندمان کل,NOT NEEDED FOR AI,,
vw_Project,راندمان سال,NOT NEEDED FOR AI,,
vw_Project,ProjectHasControlPoints,NOT NEEDED FOR AI,,
vw_Project,ProjectWBSKEY,NOT NEEDED FOR AI,,
vw_Project,ProjectWBSName,NOT NEEDED FOR AI,,
vw_ProjectScurve,DateType,NOT NEEDED FOR AI,,
vw_ProjectScurve,JFromDate,NOT NEEDED FOR AI,,
vw_ProjectScurve,JToDate,NOT NEEDED FOR AI,,
vw_ResourceUsage,CostCurrencyID,NOT NEEDED FOR AI,,Isn't name better than ID?
vw_ResourceUsage,ResourceTypeID,NOT NEEDED FOR AI,,
vw_ResourceUsage,ResourceGroupID,NOT NEEDED FOR AI,,
vw_ResourceUsage,ActualStartDate_Year,NOT NEEDED FOR AI,,
vw_ResourceUsage,ActualStartDate_Month,NOT NEEDED FOR AI,,
vw_ResourceUsage,ActualStartDate_Day,NOT NEEDED FOR AI,,
vw_ResourceUsage,ActualStartDate_PersianDate,NOT NEEDED FOR AI,,
vw_Risks,IdentificationDate_JalaliDate,NOT NEEDED FOR AI,,
vw_Risks,IdentificationDate_JalaliYear,NOT NEEDED FOR AI,,
vw_Risks,IdentificationDate_JalaliMonth,NOT NEEDED FOR AI,,
vw_Risks,IdentificationDate_JalaliDay,NOT NEEDED FOR AI,,
vw_Risks,DueDate_JalaliDate,NOT NEEDED FOR AI,,
vw_Risks,DueDate_JalaliYear,NOT NEEDED FOR AI,,
vw_Risks,DueDate_JalaliMonth,NOT NEEDED FOR AI,,
vw_Risks,DueDate_JalaliDay,NOT NEEDED FOR AI,,
vw_Risks,CreatedByPK,NOT NEEDED FOR AI,,
vw_Risks,LastModifiedByPK,NOT NEEDED FOR AI,,
vw_Risks,CategoryPK,NOT NEEDED FOR AI,,
vw_Risks,RiskResponsePK,NOT NEEDED FOR AI,,
vw_Risks,StatusPK,NOT NEEDED FOR AI,,
vw_Risks,DateTypePK,NOT NEEDED FOR AI,,
vw_WBS,JalaliDate_PlanEndDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliYear_PlanEndDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliMonth_PlanEndDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliDay_PlanEndDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliDate_PlanStartDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliYear_PlanStartDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliMonth_PlanStartDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliDay_PlanStartDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliDate_ActualEndDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliYear_ActualEndDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliMonth_ActualEndDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliDay_ActualEndDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliDate_ActualStartDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliYear_ActualStartDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliMonth_ActualStartDate,NOT NEEDED FOR AI,,
vw_WBS,JalaliDay_ActualStartDate,NOT NEEDED FOR AI,,
vw_WBS,DefaultProjectPlanID,NOT NEEDED FOR AI,,
vw_WBS,DefaultProjectWBSID,NOT NEEDED FOR AI,,
vw_WBS,ProjectHasControlPoint,NOT NEEDED FOR AI,,
vw_Invoice,IsBalance,IsInvoiceBalance,NOT NEEDED FOR AI,
vw_Invoice,BalanceManualNumber,BalanceInvoiceNumber,NOT NEEDED FOR AI,
vw_Projects,DefaultLocation_Latitude,Location_Latitude,NOT NEEDED FOR AI,
vw_Projects,DefaultLocation_Longtitude,Location_Longtitude,NOT NEEDED FOR AI,
vw_Projects,ProjectStatusID,,NOT NEEDED FOR AI,
