TABLE_NAME,Column_Name,Description
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#برنامه_عملیاتی_,ID,"Unique identifier for the operational plan record"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#برنامه_عملیاتی_,ParentID,"Identifier of the parent record in the hierarchy"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#برنامه_عملیاتی_,ProjectID,"Identifier of the associated project"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#برنامه_عملیاتی_,در_صورت_داشتن_برنامه_عملیاتی,"Details if an operational plan exists for the 7th Development Plan"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,ID,"Unique identifier for the decree/mandate record"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,ParentID,"Identifier of the parent record in the hierarchy"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,ProjectID,"Identifier of the associated project"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,متن_حکم,"Text content of the official decree/mandate"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,شناسه_حکم,"Official identifier or code for the decree/mandate"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#شناسنامه_حکم,موضوع_,"Subject or topic of the decree"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,ID,"Unique identifier for the quantitative target record"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,ParentID,"Identifier of the parent record in the hierarchy"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,ProjectID,"Identifier of the associated project"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,سال_پنجم,"Target goal or metric for the fifth year"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,در_صورت_داشتن_هدف_کمی__میزان_تحقق_در_سال_اول_,"Realization amount in the first year for quantitative targets"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,سال_چهارم,"Target goal or metric for the fourth year"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,سال_دوم,"Target goal or metric for the second year"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,سال_سوم,"Target goal or metric for the third year"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,ID,"Unique identifier for the responsible deputy unit record"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,ParentID,"Identifier of the parent record in the hierarchy"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,ProjectID,"Identifier of the associated project"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,واحد_همکار,"Name of the collaborating unit"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,واحد_همکار_درون_سازمانی_,"Name of the internal collaborating organizational unit"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,دستگاه_متولی_برون_سازمانی_,"Name of the external responsible agency or ministry"
Report.vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,واحد_اصلی,"Name of the main responsible unit"
Report.vw_FB_فرم_آپلود_فایل,ID,"Unique identifier for the file upload form record"
Report.vw_FB_فرم_آپلود_فایل,ParentID,"Identifier of the parent record"
Report.vw_FB_فرم_آپلود_فایل,ProjectID,"Identifier of the associated project"
Report.vw_FB_فرم_آپلود_فایل,نام_و_نام_خانوادگی,"First and last name of the uploader"
Report.vw_FB_فرم_اقای_احمدی,ID,"Unique identifier for the custom form record"
Report.vw_FB_فرم_اقای_احمدی,ParentID,"Identifier of the parent record"
Report.vw_FB_فرم_اقای_احمدی,ProjectID,"Identifier of the associated project"
Report.vw_FB_فرم_اقای_احمدی,متن,"Text content of the custom form"
Report.vw_FB_فرم_اقای_احمدی#child,ID,"Unique identifier for the custom form child record"
Report.vw_FB_فرم_اقای_احمدی#child,ParentID,"Identifier of the parent custom form record"
Report.vw_FB_فرم_اقای_احمدی#child,ProjectID,"Identifier of the associated project"
Report.vw_FB_فرم_اقای_احمدی#child,میزان_تحقق_,"Realization amount or percentage for this item"
Report.vw_FB_فرم_برنامه_هفتم,ID,"Unique identifier for the 7th Development Plan form record"
Report.vw_FB_فرم_برنامه_هفتم,ParentID,"Identifier of the parent record"
Report.vw_FB_فرم_برنامه_هفتم,ProjectID,"Identifier of the associated project"
Report.vw_FB_فرم_برنامه_هفتم,واحد_همکار_درون_سازمانی_,"Internal organizational collaborating unit"
Report.vw_FB_فرم_برنامه_هفتم,توضیحات_,"Additional comments or descriptions"
Report.vw_FB_فرم_برنامه_هفتم,متن_حکم,"Text content of the decree"
Report.vw_FB_فرم_برنامه_هفتم,موضوع_,"Subject of the plan or decree"
Report.vw_FB_فرم_برنامه_هفتم,در_صورت_داشتن_برنامه_عملیاتی_,"Details if an operational plan exists"
Report.vw_FB_فرم_برنامه_هفتم,اصلی_,"Boolean flag indicating if this is the main entity"
Report.vw_FB_فرم_برنامه_هفتم,همکار_,"Boolean flag indicating if this is a collaborating entity"
Report.vw_FB_فرم_برنامه_هفتم,دستگاه_متولی_برون_سازمانی_,"External responsible organization or agency"
Report.vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,ID,"Unique identifier for the decree performance record"
Report.vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,ParentID,"Identifier of the parent record"
Report.vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,ProjectID,"Identifier of the associated project"
Report.vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,زمان_اقدام,"Timeframe or date of the action taken"
Report.vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,واحد_سنجش,"Unit of measurement used for performance tracking"
Report.vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,خروجی_مورد_انتظار_,"Expected output or deliverable"
Report.vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,میزان_تحقق_خروجی,"Actual realization rate of the expected output"
Report.vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,اقدامات_آتی,"Planned future actions"
Report.vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,شرح_اقدامات_حوزه_همکار_,"Description of actions performed by the collaborating unit"
Report.vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,موانع_اجرایی,"Execution barriers and obstacles encountered"
Report.vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,شرح_اقدامات_حوزه_متولی_,"Description of actions performed by the responsible unit"
Report.vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,ID,"Unique identifier for the operational plan title record"
Report.vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,ParentID,"Identifier of the parent record"
Report.vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,ProjectID,"Identifier of the associated project"
Report.vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,شرح_فعالیت,"Description of the operational activity"
Report.vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,خروجی,"Actual delivered output"
Report.vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,زمان_پایان,"End time or completion date of the activity"
Report.vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,عنوان_برنامه_عملیاتی,"Title of the operational plan"
Report.vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,درصد_پیشرفت,"Percentage of progress made on the operational plan"
Report.vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,زمان_شروع_,"Start time or commencement date of the activity"
Report.vw_FB_فرم_برنامه_هفتم#هدف_کمی,ID,"Unique identifier for the quantitative target record"
Report.vw_FB_فرم_برنامه_هفتم#هدف_کمی,ParentID,"Identifier of the parent record"
Report.vw_FB_فرم_برنامه_هفتم#هدف_کمی,ProjectID,"Identifier of the associated project"
Report.vw_FB_فرم_برنامه_هفتم#هدف_کمی,میزان_تحقق_,"Realization rate or achievement amount"
Report.vw_Invoice,InvoiceKey,"Unique system key for the invoice"
Report.vw_Invoice,ContractPK,"Primary key of the associated contract"
Report.vw_Invoice,ContractTitle,"Title of the associated contract"
Report.vw_Invoice,InvoiceNumber,"Official invoice reference number"
Report.vw_Invoice,DateReceived,"Date the invoice was received"
Report.vw_Invoice,DateIssued,"Date the invoice was officially issued"
Report.vw_Invoice,Amount,"Total amount requested in the invoice"
Report.vw_Invoice,PreviousAccepted,"Total invoice amount previously accepted"
Report.vw_Invoice,FinalAcceptedAmount,"Final amount accepted for this invoice"
Report.vw_Invoice,CBSID,"Identifier for the associated CBS node"
Report.vw_Invoice,CBSName,"Name of the associated CBS node"
Report.vw_Invoice,ValueAddedTax,"Value Added Tax (VAT) applied to the invoice"
Report.vw_Invoice,IsInvoiceBalance,"Boolean flag indicating if this is a balance/final invoice"
Report.vw_Invoice,BalanceInvoiceNumber,"Reference number for the balance invoice if applicable"
Report.vw_Issues,IssueID,"Unique identifier for the issue"
Report.vw_Issues,OrganizationUnitID,"Identifier of the associated Organization Unit"
Report.vw_Issues,IssuesTitle,"Title or short description of the issue"
Report.vw_Issues,Description,"Detailed description of the issue"
Report.vw_Issues,ActionDescription,"Description of the action taken or required"
Report.vw_Issues,Severity,"Severity or priority level of the issue"
Report.vw_Issues,IdentificationDate,"Date the issue was identified"
Report.vw_Issues,DueDate,"Deadline date for resolving the issue"
Report.vw_Issues,Resolution,"Details on how the issue was resolved"
Report.vw_Issues,AssignedUserDetailsUserName,"Username of the person assigned to resolve the issue"
Report.vw_Issues,AssignedUserDetailsFirstName,"First name of the assigned person"
Report.vw_Issues,AssignedUserDetailsLastName,"Last name of the assigned person"
Report.vw_Issues,IssueStatus,"Current status of the issue (e.g., Open, Closed)"
Report.vw_Issues,CreatorUserDetailsUserName,"Username of the person who reported the issue"
Report.vw_Issues,CreatorUserDetailsFirstName,"First name of the issue creator"
Report.vw_Issues,CreatorUserDetailsLastName,"Last name of the issue creator"
Report.vw_Issues,LastModifierUserDetailsUserName,"Username of the last person to modify the issue"
Report.vw_Issues,LastModifierUserDetailsFirstName,"First name of the last modifier"
Report.vw_Issues,LastModifierUserDetailsLastName,"Last name of the last modifier"
Report.vw_Issues,ProjectID,"Unique identifier for the associated project"
Report.vw_Issues,ProjectName,"Name of the associated project"
Report.vw_Issues,IssueCategory,"Category classification of the issue"
Report.vw_Issues,AssignedUserDetailsFullName,"Full name of the person assigned to the issue"
Report.vw_Issues,CreatorUserDetailsFullName,"Full name of the issue creator"
Report.vw_Issues,LastModifierUserDetailsFullName,"Full name of the last modifier"
Report.vw_Issues,ReferCount,"Number of times the issue has been referenced or escalated"
Report.vw_Issues,ResponsibleStakeholder,"Stakeholder ultimately responsible for the issue"
Report.vw_OrganizationUnit,StakeholderID,"Identifier of the associated stakeholder"
Report.vw_OrganizationUnit,OrganizationUnitTitle,"Title or name of the Organization Unit"
Report.vw_OrganizationUnit,ParentID,"Identifier of the parent Organization Unit"
Report.vw_OrganizationUnit,ProgProgress,"Programmatic or planned progress of the unit"
Report.vw_OrganizationUnit,ActualProgress,"Actual progress achieved by the unit"
Report.vw_OrganizationUnitType,OrganizationUnitTypeID,"Unique identifier for the organization unit type"
Report.vw_OrganizationUnitType,OrganizationUnitTypeTitle,"Title of the organization unit type (e.g., Department, Division)"
Report.vw_OrganUnitScurve,FromDate,"Start date of the S-curve data period"
Report.vw_OrganUnitScurve,Todate,"End date of the S-curve data period"
Report.vw_OrganUnitScurve,OrganizationUnitTitle,"Name of the Organization Unit"
Report.vw_OrganUnitScurve,ParentId,"Identifier of the parent Organization Unit"
Report.vw_OrganUnitScurve,PlanProgress,"Planned progress percentage for the period"
Report.vw_OrganUnitScurve,ActualProgress,"Actual progress percentage for the period"
Report.vw_OrganUnitScurve,TimePeriodtxt,"Text representation of the time period (e.g., Q1 2024)"
Report.vw_Payments,PaymentID,"Unique identifier for the payment"
Report.vw_Payments,OrganizationUnitID,"Identifier of the Organization Unit processing the payment"
Report.vw_Payments,OrganUnitName,"Name of the Organization Unit"
Report.vw_Payments,ParentID,"Identifier of the parent entity"
Report.vw_Payments,DocumentNumber,"Reference number of the payment document"
Report.vw_Payments,PaymentDate,"Date the payment was processed"
Report.vw_Payments,Amount,"Financial amount of the payment"
Report.vw_Payments,CurrencyName,"Currency used for the payment"
Report.vw_Payments,InvoiceID,"Identifier of the invoice being paid"
Report.vw_Payments,InvoiceNumber,"Reference number of the invoice being paid"
Report.vw_Payments,ProjectID,"Unique identifier for the associated project"
Report.vw_Payments,ProjectName,"Name of the associated project"
Report.vw_Payments,CBSID,"Identifier for the associated CBS node"
Report.vw_Payments,CBSName,"Name of the associated CBS node"
Report.vw_Payments,ContractID,"Identifier of the associated contract"
Report.vw_Payments,CostCenterName,"Name of the cost center absorbing the payment"
Report.vw_Payments,PaymentBehalfName,"Name of the entity the payment was made on behalf of"
Report.vw_Payments,PaymentTypeName,"Type or category of the payment"
Report.vw_Photos,PhotoID,"Unique identifier for the photo"
Report.vw_Photos,ProjectID,"Unique identifier for the associated project"
Report.vw_Photos,PhotoValue,"File path, URL, or binary data of the photo"
Report.vw_PlanHistory,PlanHistoryID,"Unique identifier for the baseline/plan history record"
Report.vw_PlanHistory,ProjectName,"Name of the associated project"
Report.vw_PlanHistory,WBSID,"Identifier of the associated WBS node"
Report.vw_PlanHistory,wbsName,"Name of the associated WBS node"
Report.vw_PlanHistory,ProjectPlanID,"Identifier of the specific project plan or baseline"
Report.vw_PlanHistory,ProjectPlanName,"Name of the project plan or baseline"
Report.vw_PlanHistory,CreationTime,"Timestamp when the plan history record was saved"
Report.vw_PlanHistory,PlanStartDate,"Planned start date in the historical baseline"
Report.vw_PlanHistory,PlanEndDate,"Planned end date in the historical baseline"
Report.vw_ProjectGroup,ProjectGroupID,"Unique identifier for the project portfolio or group"
Report.vw_ProjectGroup,ProjectGroupName,"Name of the project portfolio or group"
Report.vw_ProjectGroupScurve,DateType,"Type of date interval used for the S-curve (e.g., Monthly, Weekly)"
Report.vw_ProjectGroupScurve,FromDate,"Start date of the S-curve data period"
Report.vw_ProjectGroupScurve,ToDate,"End date of the S-curve data period"
Report.vw_ProjectGroupScurve,PlanProgress,"Planned progress percentage for the period"
Report.vw_ProjectGroupScurve,ActualProgress,"Actual progress percentage for the period"
Report.vw_ProjectGroupScurve,PlanCommulative,"Cumulative planned progress for the project group"
Report.vw_ProjectGroupScurve,ActualCommulative,"Cumulative actual progress for the project group"
Report.vw_ProjectGroupScurve,ProjectGroupID,"Identifier of the associated project group"
Report.vw_ProjectGroupScurve,TimePeriod,"Text description of the time period"
Report.vw_ProjectMonthlyReport,ProjectMonthlyReportID,"Unique identifier for the monthly report"
Report.vw_ProjectMonthlyReport,ProjectID,"Unique identifier for the associated project"
Report.vw_ProjectMonthlyReport,ProjectName,"Name of the associated project"
Report.vw_ProjectMonthlyReport,StatusTitle,"Overall status title for the reporting month"
Report.vw_ProjectMonthlyReport,CreationTime,"Timestamp when the report was created"
Report.vw_ProjectMonthlyReport,DoneWorkTitle,"Title summarizing work completed this month"
Report.vw_ProjectMonthlyReport,DoneWorkWorkDescription,"Detailed description of work completed this month"
Report.vw_ProjectMonthlyReport,FutureWorkTitle,"Title summarizing work planned for next month"
Report.vw_ProjectMonthlyReport,FutureWorkDescription,"Detailed description of work planned for next month"
Report.vw_ProjectMonthlyReport,IsDone,"Boolean flag indicating if the report is finalized"
Report.vw_ProjectMonthlyReport,ReportNumber,"Sequential or reference number of the report"
Report.vw_ProjectPlan,ProjectPlanID,"Unique identifier for the project plan or schedule"
Report.vw_ProjectPlan,ProjectPlanName,"Name of the project plan"
Report.vw_ProjectPlan,ProjectID,"Unique identifier for the associated project"
Report.vw_ProjectPlan,ProjectName,"Name of the associated project"
Report.vw_ProjectPlan,isDefault,"Boolean flag indicating if this is the active/default plan"
Report.vw_ProjectPlanProgress,ProjectID,"Unique identifier for the associated project"
Report.vw_ProjectPlanProgress,ProjectName,"Name of the associated project"
Report.vw_ProjectPlanProgress,Date,"Date of the progress entry"
Report.vw_ProjectPlanProgress,ActualProgress,"Actual progress recorded on this date"
Report.vw_ProjectPlanProgress,PlanProgress,"Planned progress calculated for this date"
Report.vw_Projects,ProjectId,"Unique identifier for the project"
Report.vw_Projects,OrganizationUnitID,"Identifier of the Organization Unit managing the project"
Report.vw_Projects,PMFullName,"Full name of the Project Manager"
Report.vw_Projects,PMUserName,"System username of the Project Manager"
Report.vw_Projects,Client,"Name of the client entity"
Report.vw_Projects,Contractor,"Name of the primary contractor"
Report.vw_Projects,Supervisor,"Name of the supervising entity or engineer"
Report.vw_Projects,ContractNo,"Official contract number of the project"
Report.vw_Projects,ProjectNO,"Internal project reference number"
Report.vw_Projects,ContractSubject,"Subject or scope of the project contract"
Report.vw_Projects,CreatedBy,"User who created the project record"
Report.vw_Projects,LastModifiedBy,"User who last modified the project record"
Report.vw_Projects,CreationTime,"Gregorian timestamp of project creation"
Report.vw_Projects,CreationTime_J,"Jalali (Persian) timestamp of project creation"
Report.vw_Projects,LastModificationTime,"Gregorian timestamp of last modification"
Report.vw_Projects,LastModificationTime_J,"Jalali (Persian) timestamp of last modification"
Report.vw_Projects,ProjectAdmin,"System administrator or coordinator for the project"
Report.vw_Projects,DefaultLocation_CityID,"Identifier for the default city location of the project"
Report.vw_Projects,Location_Latitude,"Geographical latitude of the project site"
Report.vw_Projects,Location_Longtitude,"Geographical longitude of the project site"
Report.vw_Projects,Consultant,"Name of the consulting firm"
Report.vw_Projects,DefaultLocationID,"Identifier for the default geographical location"
Report.vw_Projects,LocationTitle,"Name or title of the project location"
Report.vw_Projects,ProjectName,"Name of the project"
Report.vw_Projects,ProjectTypeKEY,"System key defining the type or category of the project"
Report.vw_Projects,ProjectStatusName,"Current overall status of the project"
Report.vw_Projects,OrganizationUnitName,"Name of the managing Organization Unit"
Report.vw_Projects,ActualProgress,"Overall actual progress of the project"
Report.vw_Projects,PlanProgress,"Overall planned progress of the project"
Report.vw_Projects,ProgressOfBeginningOfYear_Plan,"Planned progress at the beginning of the current year"
Report.vw_Projects,ProgressOfEndOfYear_Plan,"Planned progress targeted for the end of the current year"
Report.vw_Projects,ProgressOfBeginningOfYear_Actual,"Actual progress at the beginning of the current year"
Report.vw_Projects,ProgressOfEndOfYear_Actual,"Actual progress achieved by the end of the current year"
Report.vw_Projects,RandTotal,"Calculated random or total weighting factor"
Report.vw_Projects,RandYear,"Calculated yearly weighting factor"
Report.vw_Projects,ProjectCountry,"Country where the project is located"
Report.vw_Projects,ProjectProvince,"Province or state where the project is located"
Report.vw_Projects,ProjectCity,"City where the project is located"
Report.vw_Projects,ParentID,"Identifier of the parent program or master project"
Report.vw_Projects,WeightOfParentProject,"Relative weight of this project within the parent project"
Report.vw_Projects,ProjectHasControlPoints,"Boolean flag indicating if the project utilizes control points"
Report.vw_Projects,مدت اجرای پروژه (تخمین) ,"Estimated execution duration of the project"
Report.vw_Projects,کابر 1,"Custom user field 1"
Report.vw_Projects,CurrencyName,"Default currency used for project financials"
Report.vw_Projects,ProjectWBSKEY,"Root WBS system key for the project"
Report.vw_Projects,ProjectWBSName,"Root WBS name for the project"
Report.vw_ProjectScurve,FromDate,"Start date of the S-curve data period"
Report.vw_ProjectScurve,ToDate,"End date of the S-curve data period"
Report.vw_ProjectScurve,PlanProgress,"Planned progress for the period"
Report.vw_ProjectScurve,ActualProgress,"Actual progress for the period"
Report.vw_ProjectScurve,PlanCommulative,"Cumulative planned progress for the project"
Report.vw_ProjectScurve,ActualCommulative,"Cumulative actual progress for the project"
Report.vw_ProjectScurve,ProjectID,"Unique identifier for the associated project"
Report.vw_ProjectScurve,TimePeriod,"Text description of the time period"
Report.vw_ResourceUsage,VolUnit,"Volume unit or measurement unit for the resource"
Report.vw_ResourceUsage,ProjectID,"Unique identifier for the associated project"
Report.vw_ResourceUsage,ResourceID,"Unique identifier for the resource"
Report.vw_ResourceUsage,UsageAmount,"Total amount or quantity of the resource used"
Report.vw_ResourceUsage,Comments,"Additional comments regarding resource usage"
Report.vw_ResourceUsage,Cost,"Financial cost associated with the resource usage"
Report.vw_ResourceUsage,WBSID,"Identifier of the WBS node utilizing the resource"
Report.vw_ResourceUsage,Abbreviation,"Short abbreviation for the resource unit or type"
Report.vw_ResourceUsage,ResourceName,"Name of the resource (e.g., Labor, Concrete, Crane)"
Report.vw_ResourceUsage,ResourceTypeName,"Category or type of the resource (e.g., Material, Equipment)"
Report.vw_ResourceUsage,ResourceGroupName,"Group or classification the resource belongs to"
Report.vw_ResourceUsage,WBSName,"Name of the WBS node utilizing the resource"
Report.vw_ResourceUsage,WBSCode,"Hierarchical code of the WBS node"
Report.vw_ResourceUsage,ActivityCode,"Code of the specific activity utilizing the resource"
Report.vw_ResourceUsage,WBSPath,"Full hierarchical path of the WBS node"
Report.vw_ResourceUsage,ActualStartDate,"Actual start date of the resource usage"
Report.vw_Risks,RiskID,"Unique identifier for the risk"
Report.vw_Risks,OrganizationUnitID,"Identifier of the Organization Unit tracking the risk"
Report.vw_Risks,OrganUnitName,"Name of the Organization Unit"
Report.vw_Risks,ParentID,"Identifier of the parent risk or entity"
Report.vw_Risks,RiskTitle,"Title or short description of the risk"
Report.vw_Risks,Description,"Detailed description of the risk and its potential impact"
Report.vw_Risks,Severity,"Severity level if the risk occurs"
Report.vw_Risks,IdentificationDate,"Date the risk was identified"
Report.vw_Risks,DueDate,"Deadline for implementing risk response"
Report.vw_Risks,Resolution,"Planned or actual resolution to mitigate the risk"
Report.vw_Risks,AssignedTo,"Person or entity assigned to manage the risk"
Report.vw_Risks,Type,"Type of the risk (e.g., Threat, Opportunity)"
Report.vw_Risks,Probability,"Probability or likelihood of the risk occurring"
