TABLE_NAME,Column_Name,Description,Confidence_Score
vw_FB_فرم_اقای_احمدی#child,ProjectID,"Associated Project ID",95%
vw_FB_فرم_اقای_احمدی#child,میزان_تحقق_,"Realization rate or progress percentage",95%
vw_FB_فرم_برنامه_هفتم,ID,"Primary key for the 7th Development Plan custom form",95%
vw_FB_فرم_برنامه_هفتم,ParentID,"Parent record ID",95%
vw_FB_فرم_برنامه_هفتم,ProjectID,"Associated Project ID",95%
vw_FB_فرم_برنامه_هفتم,واحد_همکار_درون_سازمانی_,"Internal collaborative unit within the organization",100%
vw_FB_فرم_برنامه_هفتم,توضیحات_,"Remarks or descriptions",100%
vw_FB_فرم_برنامه_هفتم,شناسه_حکم,"Mandate/decree identifier",100%
vw_FB_فرم_برنامه_هفتم,متن_حکم,"Mandate/decree text",100%
vw_FB_فرم_برنامه_هفتم,موضوع_,"Subject or topic",100%
vw_FB_فرم_برنامه_هفتم,در_صورت_داشتن_برنامه_عملیاتی_,"Details if an operational plan exists",90%
vw_FB_فرم_برنامه_هفتم,اصلی_,"Main/Primary indicator flag",90%
vw_FB_فرم_برنامه_هفتم,همکار_,"Collaborator indicator flag",90%
vw_FB_فرم_برنامه_هفتم,دستگاه_متولی_برون_سازمانی_,"External custodian agency",100%
vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,ID,"Primary key for mandate performance sub-form",95%
vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,ParentID,"Parent record ID",95%
vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,ProjectID,"Associated Project ID",95%
vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,زمان_اقدام,"Action time or duration",100%
vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,واحد_سنجش,"Unit of measurement for the performance",100%
vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,خروجی_مورد_انتظار_,"Expected output or deliverable",100%
vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,میزان_تحقق_خروجی,"Realization rate of the output",100%
vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,اقدامات_آتی,"Future actions planned",100%
vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,شرح_اقدامات_حوزه_همکار_,"Description of actions taken by the collaborative unit",100%
vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,موانع_اجرایی,"Execution barriers or obstacles",100%
vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,شرح_اقدامات_حوزه_متولی_,"Description of actions taken by the custodian unit",100%
vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,ID,"Primary key for Operational Plan Title sub-form",95%
vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,ParentID,"Parent record ID",95%
vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,ProjectID,"Associated Project ID",95%
vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,شرح_فعالیت,"Description of the activity",100%
vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,خروجی,"Output or deliverable of the activity",100%
vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,زمان_پایان,"End time or completion date",100%
vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,عنوان_برنامه_عملیاتی,"Title of the operational plan",100%
vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,درصد_پیشرفت,"Progress percentage",100%
vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,زمان_شروع_,"Start time or date",100%
vw_FB_فرم_برنامه_هفتم#هدف_کمی,ID,"Primary key for Quantitative Target sub-form",95%
vw_FB_فرم_برنامه_هفتم#هدف_کمی,ParentID,"Parent record ID",95%
vw_FB_فرم_برنامه_هفتم#هدف_کمی,ProjectID,"Associated Project ID",95%
vw_FB_فرم_برنامه_هفتم#هدف_کمی,میزان_تحقق_,"Realization or achievement rate",100%
vw_Invoice,InvoiceKey,"Primary key for the invoice record",100%
vw_Invoice,ContractPK,"Foreign key linking the invoice to a specific contract",100%
vw_Invoice,ContractTitle,"Title of the contract associated with the invoice",100%
vw_Invoice,InvoiceNumber,"Serial or document number of the invoice",100%
vw_Invoice,DateReceived,"Date the invoice was received",100%
vw_Invoice,DateIssued,"Date the invoice was issued",100%
vw_Invoice,Amount,"Total amount of the invoice",100%
vw_Invoice,PreviousAccepted,"Amount accepted in previous invoices",95%
vw_Invoice,FinalAcceptedAmount,"Final approved amount for this invoice to be paid",100%
vw_Invoice,CBSPK,"Foreign key linking to a specific Cost Breakdown Structure node",100%
vw_Invoice,CBSName,"Name of the associated CBS node",100%
vw_Invoice,ValueAddedTax,"Value Added Tax (VAT) amount applied to the invoice",100%
vw_Issues,IssuesKEY,"Primary key for the project issue record",100%
vw_Issues,OrganizationUnitID,"Foreign key for the organization unit reporting the issue",100%
vw_Issues,IssuesTitle,"Short title or summary of the issue",100%
vw_Issues,Description,"Detailed description of the issue",100%
vw_Issues,ActionDescription,"Description of the action taken or required to resolve the issue",100%
vw_Issues,Severity,"Severity or critical level of the issue (e.g., High, Medium, Low)",100%
vw_Issues,IdentificationDate_GeorgianDate,"Gregorian date when the issue was identified",100%
vw_Issues,DueDate_GeorgianDate,"Gregorian due date for resolving the issue",100%
vw_Issues,Resolution,"Details of how the issue was resolved",100%
vw_Issues,AssignedTo,"User or team assigned to resolve the issue",100%
vw_Issues,CategoryPK,"Foreign key defining the category of the issue",100%
vw_Issues,AssignedUserDetailsUserName,"System username of the assignee",100%
vw_Issues,AssignedUserDetailsFirstName,"First name of the assignee",100%
vw_Issues,AssignedUserDetailsLastName,"Last name of the assignee",100%
vw_Issues,ProjectIssueStatusName,"Current workflow status of the issue (e.g., Open, Closed)",100%
vw_Issues,CreatorUserDetailsUserName,"System username of the issue creator",100%
vw_Issues,CreatorUserDetailsFirstName,"First name of the issue creator",100%
vw_Issues,CreatorUserDetailsLastName,"Last name of the issue creator",100%
vw_Issues,LastModifierUserDetailsUserName,"System username of the last person to modify the issue",100%
vw_Issues,LastModifierUserDetailsFirstName,"First name of the last modifier",100%
vw_Issues,LastModifierUserDetailsLastName,"Last name of the last modifier",100%
vw_Issues,ProjectPK,"Foreign key linking to the project where the issue occurred",100%
vw_Issues,ProjectName,"Name of the associated project",100%
vw_Issues,ProjectIssueCategoriesTitle,"Title of the issue category",100%
vw_Issues,Name,"Name or identifier of the issue",90%
vw_Issues,AssignedUserDetailsFullName,"Full name of the assignee",100%
vw_Issues,CreatorUserDetailsFullName,"Full name of the issue creator",100%
vw_Issues,LastModifierUserDetailsFullName,"Full name of the last modifier",100%
vw_Issues,ReferCount,"Number of times the issue has been referenced or reopened",90%
vw_Issues,StakeholderName,"Name of the stakeholder impacted or reporting the issue",95%
vw_OrganizationUnit,StakeholderID,"Foreign key linking the org unit to a stakeholder",95%
vw_OrganizationUnit,OrganizationUnitTitle,"Title or name of the organizational unit",100%
vw_OrganizationUnit,ParentID,"ID of the parent organizational unit (hierarchical structure)",100%
vw_OrganizationUnit,ProgProgress,"Planned program progress for the organization unit",95%
vw_OrganizationUnit,ActualProgress,"Actual progress achieved by the organization unit",100%
vw_OrganizationUnitType,OrganizationUnitTypeKEY,"Primary key for the type of organizational unit",100%
vw_OrganizationUnitType,OrganizationUnitTypeTitle,"Title defining the type of org unit (e.g., Department, Division)",100%
vw_OrganUnitScurve,GFromDate,"Gregorian start date for the S-Curve period",95%
vw_OrganUnitScurve,GTodate,"Gregorian end date for the S-Curve period",95%
vw_OrganUnitScurve,OrgTitle,"Title of the organization unit for the S-Curve",100%
vw_OrganUnitScurve,ParentId,"Parent org unit ID",100%
vw_OrganUnitScurve,Prog,"Planned cumulative progress (S-Curve planned line)",95%
vw_OrganUnitScurve,Actual,"Actual cumulative progress (S-Curve actual line)",95%
vw_OrganUnitScurve,TimePeriodtxt,"Text representation of the time period (e.g., Q1-2023)",100%
vw_Payments,PaymentKEY,"Primary key for the payment record",100%
vw_Payments,OrganizationUnitPK,"Foreign key linking payment to an organization unit",100%
vw_Payments,OrganUnitName,"Name of the organization unit handling the payment",100%
vw_Payments,ParentPK,"Parent record ID (if part of a split payment)",90%
vw_Payments,DocumentNumber,"Financial document or receipt number",100%
vw_Payments,PaiementDateKEY,"Key or timestamp for the date of payment",95%
vw_Payments,Amount,"Financial amount paid",100%
vw_Payments,CurrencyName,"Currency in which the payment was made",100%
vw_Payments,InvoicePK,"Foreign key linking the payment to an invoice",100%
vw_Payments,InvoiceNumber,"Invoice number being paid",100%
vw_Payments,ProjectPK,"Foreign key linking payment to a project",100%
vw_Payments,ProjectName,"Name of the project associated with the payment",100%
vw_Payments,CBSPK,"Foreign key linking the payment to a Cost Breakdown Structure node",100%
vw_Payments,CBSName,"Name of the Cost Breakdown Structure node",100%
vw_Payments,ContractPK,"Foreign key linking the payment to a contract",100%
vw_Payments,CostCenterPK,"Foreign key linking to the accounting cost center",100%
vw_Payments,CostCenterName,"Name of the accounting cost center",100%
vw_Payments,PaymentBehalfPK,"Foreign key representing the entity on whose behalf payment is made",95%
vw_Payments,PaymentBehalfName,"Name of the entity on whose behalf payment is made",95%
vw_Payments,PaymentTypePK,"Foreign key defining the type of payment (e.g., Advance, Final)",100%
vw_Payments,PaymentTypeName,"Name of the payment type",100%
vw_Photos,PhotosPK,"Primary key for the project photo record",100%
vw_Photos,ProjectPK,"Foreign key linking the photo to a project",100%
vw_Photos,PhotoValue,"Binary data, file path, or URL of the photo",95%
vw_PlanHistory,PlanHistoryKEY,"Primary key for the project baseline/plan history record",100%
vw_PlanHistory,ProjectName,"Name of the project",100%
vw_PlanHistory,WBSPK,"Foreign key linking to a specific WBS node",100%
vw_PlanHistory,wbsName,"Name of the WBS node",100%
vw_PlanHistory,ProjectPlanPK,"Foreign key for the specific project plan/baseline version",100%
vw_PlanHistory,ProjectPlanName,"Name of the project plan/baseline version",100%
vw_PlanHistory,CreationTime,"Timestamp when this plan history was saved",100%
vw_PlanHistory,PlanStartDate,"Planned start date in this historical baseline",100%
vw_PlanHistory,PlanEndDate,"Planned end date in this historical baseline",100%
vw_ProjectGroup,ProjectGroupPK,"Primary key for a project group or portfolio",100%
vw_ProjectGroup,ProjectGroupName,"Name of the project group or portfolio",100%
vw_ProjectGroupScurve,DateType,"Indicator of the date type (e.g., Weekly, Monthly) for the curve",95%
vw_ProjectGroupScurve,GFromDate,"Gregorian start date for the group S-Curve period",95%
vw_ProjectGroupScurve,GToDate,"Gregorian end date for the group S-Curve period",95%
vw_ProjectGroupScurve,PlanPer,"Planned percentage for the current period",95%
vw_ProjectGroupScurve,ActualPer,"Actual percentage for the current period",95%
vw_ProjectGroupScurve,PlanCommulative,"Cumulative planned progress for the project group",100%
vw_ProjectGroupScurve,ActualCommulative,"Cumulative actual progress for the project group",100%
vw_ProjectGroupScurve,ProjectGroupID,"Foreign key linking to the project group",100%
vw_ProjectGroupScurve,TimePeriod,"Identifier for the time period (e.g., month/year)",100%
vw_ProjectMonthlyReport,ProjectMonthlyReportKEY,"Primary key for the monthly project report",100%
vw_ProjectMonthlyReport,ProjectPK,"Foreign key linking to the project",100%
vw_ProjectMonthlyReport,PrjName,"Project name",100%
vw_ProjectMonthlyReport,StatusTitle,"Overall status title (e.g., On Track, Delayed)",100%
vw_ProjectMonthlyReport,CreationTime,"Timestamp when the report was created",100%
vw_ProjectMonthlyReport,DoneWorkTitle,"Title or summary of work completed this month",100%
vw_ProjectMonthlyReport,DoneWorkWorkDescription,"Detailed description of work completed this month",100%
vw_ProjectMonthlyReport,FutureWorkTitle,"Title or summary of work planned for next month",100%
vw_ProjectMonthlyReport,FutureWorkDescription,"Detailed description of work planned for next month",100%
vw_ProjectMonthlyReport,IsDone,"Boolean flag indicating if the report is finalized/submitted",95%
vw_ProjectMonthlyReport,ReportNumber,"Serial or sequence number of the monthly report",100%
vw_ProjectPlan,ProjectPlanPK,"Primary key for the project plan/baseline definition",100%
vw_ProjectPlan,ProjectPlanName,"Name of the plan (e.g., Baseline 1, Revised Schedule)",100%
vw_ProjectPlan,ProjectPK,"Foreign key linking the plan to a project",100%
vw_ProjectPlan,ProjectName,"Name of the project",100%
vw_ProjectPlan,isDefault,"Flag indicating if this is the active/default plan for the project",100%
vw_ProjectPlanProgress,کد پروژه,"Project Code",100%
vw_ProjectPlanProgress,نام پروژه,"Project Name",100%
vw_ProjectPlanProgress,تاریخ,"Date of the progress update",100%
vw_ProjectPlanProgress,پیشرفت واقعی,"Actual overall project progress",100%
vw_ProjectPlanProgress,پیشرفت برنامه ای,"Planned overall project progress",100%
vw_Projects,ProjectKEY,"Primary key for the project record",100%
vw_Projects,OrganizationUnitID,"Foreign key for the organization unit owning the project",100%
vw_Projects,PMFullName,"Full name of the Project Manager",100%
vw_Projects,TaskMaster,"Task master or lead supervisor",90%
vw_Projects,Contractor,"Name of the contractor organization",100%
vw_Projects,Supervisor,"Name of the supervisor or supervising agency",100%
vw_Projects,ContractNo,"Main contract number",100%
vw_Projects,ProjectNO,"Internal project number",100%
vw_Projects,ContractSubject,"Subject or scope of the main contract",100%
vw_Projects,ProjectManager,"Name or identifier of the project manager",100%
vw_Projects,Consultant,"Name of the consulting organization",100%
vw_Projects,Client,"Name of the client or owner",100%
vw_Projects,DefaultLocationTitle,"Default geographical location or site of the project",100%
vw_Projects,کد پروژه,"Project Code (in Farsi)",100%
vw_Projects,نام پروژه,"Project Name (in Farsi)",100%
vw_Projects,نوع پروژه,"Project Type (e.g., EPC, Construction)",100%
vw_Projects,وضعیت پروژه,"Project Status (e.g., Active, Completed)",100%
vw_Projects,واحد سازمانی پروژه,"Organizational unit responsible for the project",100%
vw_Projects,پیشرفت واقعی,"Actual project progress percentage",100%
vw_Projects,پیشرفت برنامه ای,"Planned project progress percentage",100%
vw_Projects,کشور پروژه,"Country where the project is located",100%
vw_Projects,استان پروژه,"Province or state where the project is located",100%
vw_Projects,شهر پروژه,"City where the project is located",100%
vw_Projects,ParentID,"Parent project ID (if part of a master project)",100%
vw_Projects,WeightOfParentProject,"Weight of this project relative to its parent project",95%
vw_Projects,اسکلت سازه,"Structural framework/skeleton type (e.g., Steel, Concrete)",95%
vw_Projects,برچسب,"Tags or labels applied to the project",100%
vw_Projects,بهره بردار,"Operator or end-user of the project deliverables",100%
vw_Projects,پیوست دارد,"Boolean flag indicating if the project has attachments",100%
vw_Projects,تست date,"Test field for date input",100%
vw_Projects,تست طراحی,"Test field for design/architecture",100%
vw_Projects,تست عدد,"Test field for numerical input",100%
vw_Projects,روش اداره ی پروژه,"Project management method or methodology",95%
vw_Projects,سبد,"Portfolio to which the project belongs",100%
vw_Projects,سطح تصویت,"Approval level of the project",95%
vw_Projects,شرح نیاز مشتری,"Description of the customer's needs or requirements",100%
vw_Projects,فیلد1,"Custom field 1",100%
vw_Projects,ماهیت,"Nature or essence of the project",95%
vw_Projects,مبلغ اولیه تأمین شده,"Initial funded amount for the project",100%
vw_Projects,مدت اجرای پروژه (تخمین) ,"Estimated execution duration of the project",100%
vw_Projects,مدیر پروژه,"Project Manager (Farsi field)",100%
vw_Projects,نیروی انسانی مورد نیاز,"Required human resources or manpower",100%
vw_Projects,هدف,"Objective or goal of the project",100%
vw_Projects,کابر 1,"Custom User Field 1",95%
vw_Projects,کاربر 2,"Custom User Field 2",95%
vw_Projects,روش اداره ی پروژه (از نحوه),"Detailed project management administration method",90%
vw_Projects,چارچوب,"Framework or methodology applied",95%
vw_Projects,ProjectTypeName,"Name of the project type category",100%
vw_Projects,CurrencyName,"Base currency used for project financials",100%
