TABLE_NAME,Column_Name,Description,Confidence_Score
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,ID,Primary key for Quantitative Goal sub-form,95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,ParentID,Parent ID linking to the main form record,95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#هدف_کمی,ProjectID,Project ID associated with this goal,95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,ID,Primary key for Custodian Department sub-form,95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,ParentID,Parent ID linking to the main form record,95%
vw_FB_شناسنامه_احکام_و_گزارش_عملکرد_سازمان_تامین_اجتماعی_در_برنامه_هفتم_پیشرفت#واحد_متولی_معاونت,ProjectID,Project ID associated with this department allocation,95%
vw_FB_فرم_آپلود_فایل,ID,Primary key for custom File Upload Form,95%
vw_FB_فرم_آپلود_فایل,ParentID,Parent record ID,95%
vw_FB_فرم_آپلود_فایل,ProjectID,Associated Project ID,95%
vw_FB_فرم_اقای_احمدی,ID,Primary key for Mr. Ahmadi's custom form,95%
vw_FB_فرم_اقای_احمدی,ParentID,Parent record ID,95%
vw_FB_فرم_اقای_احمدی,ProjectID,Associated Project ID,95%
vw_FB_فرم_اقای_احمدی#child,ID,Primary key for child table in Mr. Ahmadi's form,95%
vw_FB_فرم_اقای_احمدی#child,ParentID,Parent record ID,95%
vw_FB_فرم_اقای_احمدی#child,ProjectID,Associated Project ID,95%
vw_FB_فرم_برنامه_هفتم,ID,Primary key for the 7th Development Plan custom form,95%
vw_FB_فرم_برنامه_هفتم,ParentID,Parent record ID,95%
vw_FB_فرم_برنامه_هفتم,ProjectID,Associated Project ID,95%
vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,ID,Primary key for mandate performance sub-form,95%
vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,ParentID,Parent record ID,95%
vw_FB_فرم_برنامه_هفتم#عملکرد_حکم,ProjectID,Associated Project ID,95%
vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,ID,Primary key for Operational Plan Title sub-form,95%
vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,ParentID,Parent record ID,95%
vw_FB_فرم_برنامه_هفتم#عنوان_برنامه_عملیاتی,ProjectID,Associated Project ID,95%
vw_FB_فرم_برنامه_هفتم#هدف_کمی,ID,Primary key for Quantitative Target sub-form,95%
vw_FB_فرم_برنامه_هفتم#هدف_کمی,ParentID,Parent record ID,95%
vw_FB_فرم_برنامه_هفتم#هدف_کمی,ProjectID,Associated Project ID,95%
vw_Issues,OrganizationUnitID,Foreign key for the organization unit reporting the issue,100%
vw_OrganizationUnit,StakeholderID,Foreign key linking the org unit to a stakeholder,95%
vw_OrganizationUnit,ParentID,ID of the parent organizational unit (hierarchical structure),100%
vw_OrganUnitScurve,ParentId,Parent org unit ID,100%
vw_ProjectGroupScurve,ProjectGroupID,Foreign key linking to the project group,100%
vw_Projects,OrganizationUnitID,Foreign key for the organization unit owning the project,100%
vw_Projects,ParentID,Parent project ID (if part of a master project),100%
vw_ProjectScurve,ProjectID,Foreign key linking to the project,100%
vw_ResourceUsage,ProjectID,Foreign key linking the usage to a project,100%
vw_ResourceUsage,ResourceID,Foreign key identifying the specific resource,100%
vw_ResourceUsage,WBSID,Foreign key linking resource usage to a specific WBS node,100%
vw_Risks,OrganizationUnitID,Foreign key for the organization unit owning the risk,100%
vw_Risks,ParentID,Parent risk ID (if part of a broader risk category),95%
vw_WBS,ParentID,Parent WBS node ID (for defining hierarchy),100%
vw_WBS,WbsId,Primary key / Unique identifier for the WBS element,100%
vw_WBS,PrjId,Foreign key linking to the project,100%
vw_WBS,OrgID,Foreign key linking to the responsible organization unit,100%
vw_WorkItems,WBSID,Foreign key linking to a WBS node,100%
vw_WorkItems,SubProjectID,Foreign key for a related sub-project if applicable,95%
